# Roll (rad)	Pitch (rad)	Heading (rad)	Latitude (rad)	Longitude (rad)	Altitude (m)	Heave (m)
0.0306779541588016	0.00874497999769857	0.543942224527393	0.796065554459841	-2.14037505126519	-20.3000913401811	0.00342719326727092
0.0304382298781951	0.00880238359772066	0.543786480784236	0.796065557716261	-2.14037504935625	-20.300247140264	0.00325925112701952
0.0304057987265639	0.00883730377674213	0.543562858384867	0.796065560984388	-2.1403750474733	-20.3004319742162	0.00306194555014372
0.0303916317931301	0.00886754610311258	0.543253842125384	0.796065564251625	-2.14037504559049	-20.3006693867876	0.00281463656574488
0.0301137842875234	0.00889794262407203	0.543000219894117	0.796065567519693	-2.14037504367564	-20.3009426270664	0.00253336527384818
0.0297960891611221	0.0089892980896428	0.542960226780098	0.796065570802667	-2.14037504175573	-20.3012212612308	0.00224736519157887
0.0296735561610136	0.00899992025082844	0.542732426783233	0.796065574095112	-2.14037503986845	-20.3015262125619	0.00193500507157296
0.0296315426476559	0.0090520669414571	0.542490001311417	0.79606557739049	-2.14037503798331	-20.3018714973854	0.00158583489246666
0.029314239479492	0.00908423568488846	0.542254266572453	0.796065580679841	-2.14037503607259	-20.3022671874016	0.00118826376274228
0.0288737534255939	0.00914949676461895	0.542194855046774	0.796065583977752	-2.14037503415142	-20.3026698698151	0.000785757496487349
0.0286545701418362	0.00921389176725119	0.542038665561405	0.796065587287137	-2.14037503226096	-20.3031004088139	0.000355955970007926
0.0285229395266632	0.00922547222873661	0.541789846282321	0.796065590595353	-2.14037503038337	-20.3035693538902	-0.000109227366920095
0.0281568427070233	0.00928185151485606	0.541573637279809	0.796065593905615	-2.14037502847972	-20.3040701676229	-0.000602254760451615
0.0277220612332116	0.00935714942744947	0.541571402315353	0.796065597224251	-2.14037502656908	-20.304584451812	-0.00110811018384993
0.0273969248252624	0.00937904921764149	0.541381645603575	0.796065600553374	-2.14037502468128	-20.3051222545094	-0.00163434760179371
0.027145421536501	0.0094166024061661	0.541254964695236	0.796065603888465	-2.14037502280003	-20.305565345691	-0.00216683698818088
0.026785128952483	0.00944083402077974	0.541042245113961	0.796065607218784	-2.14037502091268	-20.3060472461939	-0.00273423036560416
0.0263317718703052	0.00949834342532928	0.540982909716554	0.796065610558856	-2.14037501901733	-20.3065323642515	-0.00330201792530715
0.025955199064999	0.00953773352326573	0.540894402438161	0.796065613904652	-2.14037501713965	-20.3070371064752	-0.00388769083656371
0.0256327900131109	0.00952167887146385	0.540706152517291	0.796065617250733	-2.140375015274	-20.3075637327359	-0.00449212081730366
0.0252144021498623	0.00958800836254027	0.540637096752938	0.796065620604888	-2.1403750134026	-20.3080915643863	-0.00509289372712374
0.0247873190247879	0.00960800528752437	0.540537995977688	0.796065623960472	-2.14037501154142	-20.3086219269441	-0.00569468829780817
0.024413903386636	0.00964521576521292	0.540420981998679	0.796065627327761	-2.14037500968505	-20.3091580412896	-0.00629820022732019
0.0240514719051948	0.00966381365908048	0.540341313172264	0.796065630698554	-2.14037500783316	-20.3096936817828	-0.00689905602484941
0.0236128552271238	0.00970467469097923	0.540252031066969	0.796065634071801	-2.14037500598426	-20.3102346970229	-0.00750118121504784
0.0232042168672731	0.00973634854638853	0.540190271634957	0.796065637453495	-2.14037500414791	-20.3107554342305	-0.00808098912239075
0.0228904209081029	0.00978074901341413	0.540132975395763	0.796065640844056	-2.14037500232512	-20.3112678312858	-0.00864890497177839
0.0225453241642743	0.00976529553718821	0.540011378508718	0.796065644231701	-2.14037500050359	-20.3117883512479	-0.0092224944382906
0.022082587136928	0.00981478327134812	0.539970816400466	0.796065647625717	-2.14037499867612	-20.3122963833332	-0.00977976340800524
0.0217132275012991	0.00988789805264402	0.539981109982998	0.796065651029969	-2.14037499686853	-20.3127773677939	-0.0103078484535217
0.0214701257138292	0.00991006658111642	0.539854474437528	0.796065654444016	-2.14037499508082	-20.3132334116144	-0.0108079770579934
0.0211852868871338	0.00996086013868373	0.539812413894705	0.79606565786513	-2.1403749932854	-20.313667742011	-0.0112834591418505
0.0207809554091395	0.0100060635463892	0.539778183512229	0.796065661283182	-2.14037499148849	-20.3140920337191	-0.0117474878206849
0.0204325559173516	0.0100763458134613	0.539760766386715	0.79606566471406	-2.14037498970915	-20.3144775303478	-0.0121694821864367
0.0202816884048312	0.0101339457575625	0.539751105620344	0.796065668154507	-2.14037498795494	-20.3148148812876	-0.0125423753634095
0.0200790592769933	0.0101576983160472	0.539619042676694	0.796065671592083	-2.14037498620036	-20.3151569437459	-0.0129168136045337
0.0197250338093165	0.0102681830264393	0.539670922047729	0.79606567503734	-2.14037498443441	-20.3154637478401	-0.0132538666948676
0.0194797896563705	0.0103378139860788	0.539662954231486	0.796065678488127	-2.14037498269697	-20.3157252781494	-0.0135454777628183
0.0194312228291582	0.0103997791046365	0.539623352872588	0.796065681954616	-2.14037498098338	-20.315933756863	-0.0137810856103897
0.0193307743712075	0.0104445868282312	0.539582447279451	0.796065685419928	-2.14037497926672	-20.3161005667254	-0.0139747010543942
0.0191051237306721	0.0105141650407304	0.539571907218682	0.796065688890432	-2.1403749775444	-20.3162420114199	-0.0141413612291217
0.0189659281399622	0.0105958855329792	0.539596061343118	0.796065692371935	-2.14037497584705	-20.3163284542625	-0.0142531916499138
0.0190549519330247	0.0106712785863324	0.539615914240245	0.796065695865168	-2.14037497417614	-20.3163521090401	-0.0143007505685091
0.0190699753855767	0.0106986149581263	0.53951866489004	0.796065699351938	-2.14037497250325	-20.316354661689	-0.0143272345885634
0.0189432194086586	0.0107977117034908	0.539575223745818	0.796065702846485	-2.14037497081818	-20.3163126416383	-0.0143082858994603
0.0189375394462001	0.0108783497569501	0.539627117759654	0.796065706349392	-2.14037496916457	-20.3162246573465	-0.0142455799505115
0.0191406679960708	0.0109322686871165	0.539600140376514	0.79606570986676	-2.14037496753588	-20.3160787902649	-0.0141230877488852
0.0192552865483261	0.0109828167319324	0.539595812748556	0.796065713381575	-2.14037496590192	-20.3158789692041	-0.0139480028301477
0.0192772621130674	0.0110149783193149	0.539636179865978	0.796065716897657	-2.14037496426423	-20.3156640173634	-0.0137592013925314
0.0194058331491137	0.0110742549153071	0.539668115062668	0.796065720425609	-2.14037496265175	-20.3154009019046	-0.0135230189189315
0.0197558641707339	0.0111211048308206	0.539724458185009	0.796065723962662	-2.14037496106544	-20.3150877303093	-0.0132382940500975
0.0199682858406835	0.0111105360294746	0.539619541338384	0.796065727493216	-2.14037495947252	-20.3147454003797	-0.0129239028319716
0.0200779920117704	0.0111601428706274	0.539740270811478	0.796065731028131	-2.14037495786702	-20.3143683704085	-0.0125779751688242
0.0202900632007037	0.0111801700368891	0.539748041517983	0.796065734570346	-2.14037495629177	-20.3139577307218	-0.0122003899887204
0.0207200544855037	0.0111976359628715	0.539806938159268	0.796065738129269	-2.14037495473831	-20.3135037797102	-0.0117807863280177
0.0210621329899041	0.0111943153106837	0.539800612416757	0.796065741683848	-2.14037495317937	-20.3130061270041	-0.0113194603472948
0.0212957418230045	0.0111576354204203	0.539831018067348	0.796065745234914	-2.14037495161406	-20.3125087444915	-0.0108615066856146
0.0215901199860284	0.0111952445817653	0.539909386968273	0.796065748799251	-2.14037495006691	-20.3119715265682	-0.0103654125705361
0.0221169662822482	0.0111653238670264	0.539951842045695	0.796065752368501	-2.14037494854937	-20.3114018939771	-0.00984017457813025
0.0225348981890516	0.0111253592497463	0.539886974261043	0.796065755932681	-2.14037494702305	-20.3108213352152	-0.00930472183972597
0.0227968648906709	0.0111295074015587	0.539993768036881	0.796065759497703	-2.1403749454817	-20.3102197615728	-0.00875199772417545
